Ceratocystiopsis minuta
Ceratocystiopsis brevicomis
Hawksworthiomyces lignivorus
Sporothrix insectorum
Cephalotheca purpurea
Ophiostoma penicillatum
Raffaelea sulphurea
Raffaelea quercus-mongolicae
Raffaelea quercivora
Esteya vermicola
Grosmannia clavigera
Leptographium lundbergii
Leptographium procerum
Raffaelea sp._RL272
Raffaelea lauricola
Raffaelea arxii
Raffaelea albimanens
Raffaelea ambrosiae
Graphilbum fragrans
Diaporthe helianthi
Diaporthe ampelina
Phomopsis longicolla
Diaporthe aspalathi
Stenocarpella maydis
Cytospora mali
Chrysoporthe austroafricana
Chrysoporthe deuterocubensis
Chrysoporthe cubensis
Cryphonectria radicalis
Coniella lustricola
Juglanconis oblonga
Juglanconis juglandina
Juglanconis sp._DMW523
Ophiognomonia clavigignenti-juglandacearum
Phaeoacremonium minimum
Sordaria macrospora
Neurospora crassa
Neurospora tetrasperma
Neurospora africana
Neurospora sublineolata
Neurospora pannonica
Neurospora terricola
Thermothielavioides terrestris
Thermothelomyces thermophila
Chaetomium cochliodes
Chaetomium globosum
Madurella mycetomatis
Chaetomium thermophilum
Triangularia anserina
Coniochaeta hoffmannii
Coniochaeta ligniaria
Calonectria pseudoreteaudii
Cylindrocladium leucothoes
Calonectria pseudonaviculata
Cylindrocladium naviculatum
Aquanectria penicillioides
Ilyonectria destructans
Ilyonectria mors-panacis
Dactylonectria macrodidyma
Nectria sp._B-13
Neonectria hederae
Neonectria punicea
Neonectria ditissima
Corinectria fuckeliana
Fusarium pseudograminearum
Fusarium meridionale
Fusarium graminearum
Fusarium asiaticum
Fusarium culmorum
Fusarium praegraminearum
Fusarium langsethiae
Fusarium chlamydosporum
Fusarium sambucinum
Fusarium venenatum
Fusarium poae
Fusarium longipes
Fusarium equiseti
Fusarium sp._FIESC_12
Fusarium sp._FIESC_28
Fusarium avenaceum
Fusarium sp._JS626
Fusarium tricinctum
Fusarium udum
Fusarium verticillioides
Fusarium nygamai
Fusarium pininemorale
Fusarium circinatum
Fusarium sp._Na10
Fusarium temperatum
Fusarium fracticaudum
Fusarium agapanthi
Fusarium mangiferae
Fusarium proliferatum
Fusarium fujikuroi
Fusarium commune
Fusarium oxysporum
Fusarium hostae
Fusarium beomiforme
Fusarium burgessii
Fusarium algeriense
Neocosmospora phaseoli_NRRL_54364
Neocosmospora phaseoli_NRRL_34551
Neocosmospora phaseoli_NRRL_31757
Neocosmospora phaseoli_NRRL_31157
Neocosmospora phaseoli_NRRL_31156
Neocosmospora phaseoli_NRRL_31096
Neocosmospora solani
Neocosmospora haematococca
Fusarium sp._FSSC_6
Neocosmospora euwallaceae
Fusarium sp._JS1030
Pseudonectria foliicola
Claviceps purpurea
Claviceps fusiformis
Claviceps paspali
Aciculosporium take
Epichloe gansuensis_var._inebrians
Epichloe festucae
Epichloe baconii
Epichloe amarillans
Epichloe sp._AL9924
Epichloe elymi
Epichloe bromicola
Epichloe uncinata
Epichloe brachyelytri
Epichloe aotearoae
Epichloe sylvatica
Epichloe typhina
Epichloe glyceriae
Balansia obtecta
Atkinsonella texensis
Atkinsonella hypoxylon
Periglandula ipomoeae
Moelleriella libera
Hypocrella siamensis
Ustilaginoidea virens
Metarhizium anisopliae
Metarhizium robertsii
Metarhizium brunneum
Metarhizium majus
Metarhizium guizhouense
Metarhizium acridum
Metarhizium album
Metarhizium rileyi
Pochonia chlamydosporia
Tolypocladium capitatum
Tolypocladium ophioglossoides
Tolypocladium paradoxum
Tolypocladium sp._Salcha_MEA-2
Tolypocladium inflatum
Tolypocladium sp._Sup5_PDA-1
Albophoma yamanashiensis
Drechmeria coniospora
Purpureocillium lilacinum
Ophiocordyceps polyrhachis-furcata
Ophiocordyceps sp._camponoti-leonardi
Ophiocordyceps sp._camponoti-saundersi
Ophiocordyceps unilateralis
Ophiocordyceps camponoti-rufipedis
Cordyceps sp._RAO-2017
Ophiocordyceps sinensis
Hirsutella minnesotensis
Hirsutella thompsonii
Ophiocordyceps australis
Paecilomyces hepiali
Cordyceps farinosa
Cordyceps confragosa
Cordyceps fumosorosea
Isaria cicadae
Cordyceps tenuipes
Cordyceps pruinosa
Cordyceps militaris
Beauveria rudraprayagi
Beauveria bassiana
