ID	original_genome_id	old_speceis_names	speceis_names_fig2	hex	id_table S1	Species name	Major clade	clade_order	Family	Genus	CUG usage
244	yHMPu5000035325_cyberlindnera_petersonii_160928	yHMPu5000035325_Cyberlindnera_petersonii	Cyberlindnera_petersonii	#00e4ff	237	Cyberlindnera petersonii	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
245	yHMPu5000035687_cyberlindnera_suaveolens_160613	yHMPu5000035687_Cyberlindnera_suaveolens	Cyberlindnera_suaveolens	#00e4ff	229	Cyberlindnera suaveolens	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
246	yHMPu5000034979_cyberlindnera_misumaiensis_160519	yHMPu5000034979_Cyberlindnera_misumaiensis	Cyberlindnera_misumaiensis	#00e4ff	249	Cyberlindnera misumaiensis	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
247	yHMPu5000035699_cyberlindnera_maclurae_160613	yHMPu5000035699_Cyberlindnera_maclurae	Cyberlindnera_maclurae	#00e4ff	225	Cyberlindnera maclurae	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
248	yHMPu5000035271_wickerhamomyces_bovis_160928	yHMPu5000035271_Wickerhamomyces_bovis	Wickerhamomyces_bovis	#00e4ff	240	Wickerhamomyces bovis	Phaffomycetaceae	10	Phaffomycetaceae	Wickerhamomyces	Leu
249	yHMPu5000035274_wickerhamomyces_alni_160928	yHMPu5000035274_Wickerhamomyces_alni	Wickerhamomyces_alni	#00e4ff	239	Wickerhamomyces alni	Phaffomycetaceae	10	Phaffomycetaceae	Wickerhamomyces	Leu
250	alloascoidea_hylecoeti	Alloascoidea_hylecoeti	Alloascoidea_hylecoeti	#008000	53	Alloascoidea hylecoeti	Alloascoideaceae	4	Alloascoideaceae	Alloascoidea	Leu
251	yHMPu5000034950_citeromyces_hawaiiensis_160519	yHMPu5000034950_Citeromyces_hawaiiensis	Citeromyces_hawaiiensis	#FF8200	82	Citeromyces hawaiiensis	Pichiaceae	7	Saccharomycetales incertae sedis	Citeromyces	Leu
252	yHMPu5000034952_citeromyces_siamensis_160519	yHMPu5000034952_Citeromyces_siamensis	Citeromyces_siamensis	#FF8200	81	Citeromyces siamensis	Pichiaceae	7	Saccharomycetales incertae sedis	Citeromyces	Leu
253	yHAB158_kazachstania_viticola_160519	yHAB158_Kazachstania_viticola	Kazachstania_viticola	#0012ff	314	Kazachstania viticola	Saccharomycetaceae	12	Saccharomycetaceae	Kazachstania	Leu
254	yHMPu5000026142_citeromyces_matritensis_160519	yHMPu5000026142_Citeromyces_matritensis	Citeromyces_matritensis	#FF8200	119	Citeromyces matritensis	Pichiaceae	7	Saccharomycetales incertae sedis	Citeromyces	Leu
255	yHMPu5000034710_kluyveromyces_dobzhanskii_160519	yHMPu5000034710_Kluyveromyces_dobzhanskii	Kluyveromyces_dobzhanskii	#0012ff	329	Kluyveromyces dobzhanskii	Saccharomycetaceae	12	Saccharomycetaceae	Kluyveromyces	Leu
256	yHMPu5000034709_kluyveromyces_aestuarii_160519	yHMPu5000034709_Kluyveromyces_aestuarii	Kluyveromyces_aestuarii	#0012ff	330	Kluyveromyces aestuarii	Saccharomycetaceae	12	Saccharomycetaceae	Kluyveromyces	Leu
257	nakaseomyces_bracarensis	Nakaseomyces_bracarensis	Candida_bracarensis	#0012ff	285	Candida bracarensis	Saccharomycetaceae	12	Saccharomycetaceae	Candida	Leu
258	candida_glabrata	Candida_glabrata	Candida_glabrata	#0012ff	263	Candida glabrata	Saccharomycetaceae	12	Saccharomycetaceae	Candida	Leu
259	eremothecium_gossypii	Eremothecium_gossypii	Eremothecium_gossypii	#0012ff	266	Eremothecium gossypii	Saccharomycetaceae	12	Saccharomycetaceae	Eremothecium	Leu
260	ashbya_aceri	Ashbya_aceri	Ashbya_aceri	#0012ff	262	Ashbya aceri	Saccharomycetaceae	12	Saccharomycetaceae	Ashbya	Leu
261	eremothecium_sinecaudum	Eremothecium_sinecaudum	Eremothecium_sinecaudum	#0012ff	267	Eremothecium sinecaudum	Saccharomycetaceae	12	Saccharomycetaceae	Eremothecium	Leu
262	eremothecium_cymbalariae	Eremothecium_cymbalariae	Eremothecium_cymbalariae	#0012ff	265	Eremothecium cymbalariae	Saccharomycetaceae	12	Saccharomycetaceae	Eremothecium	Leu
263	eremothecium_coryli	Eremothecium_coryli	Eremothecium_coryli	#0012ff	264	Eremothecium coryli	Saccharomycetaceae	12	Saccharomycetaceae	Eremothecium	Leu
264	kazachstania_africana	Kazachstania_africana	Kazachstania_africana	#0012ff	268	Kazachstania africana	Saccharomycetaceae	12	Saccharomycetaceae	Kazachstania	Leu
265	kazachstania_naganishii	Kazachstania_naganishii	Kazachstania_naganishii	#0012ff	269	Kazachstania naganishii	Saccharomycetaceae	12	Saccharomycetaceae	Kazachstania	Leu
266	yHAB166_kazachstania_yakushimaensis_160519	yHAB166_Kazachstania_yakushimaensis	Kazachstania_yakushimaensis	#0012ff	318	Kazachstania yakushimaensis	Saccharomycetaceae	12	Saccharomycetaceae	Kazachstania	Leu
267	kluyveromyces_lactis	Kluyveromyces_lactis	Kluyveromyces_lactis	#0012ff	270	Kluyveromyces lactis	Saccharomycetaceae	12	Saccharomycetaceae	Kluyveromyces	Leu
